,Airline,Airline.ID,Source.airport,Source.airport.ID,Destination.airport,Destination.airport.ID
12912,AZ,596,ABQ,4019,ATL,3682
20012,DL,2009,ABQ,4019,ATL,3682
36159,KL,3090,ABQ,4019,ATL,3682
63417,WN,4547,ABQ,4019,BWI,3849
63418,WN,4547,ABQ,4019,DAL,3502
24845,FL,1316,ABQ,4019,DEN,3751
55762,UA,5209,ABQ,4019,DEN,3751
63419,WN,4547,ABQ,4019,DEN,3751
4659,AA,24,ABQ,4019,DFW,3670
58574,US,5265,ABQ,4019,DFW,3670
63420,WN,4547,ABQ,4019,HOU,3566
55763,UA,5209,ABQ,4019,IAH,3550
13895,B6,3029,ABQ,4019,JFK,3797
24846,FL,1316,ABQ,4019,LAS,3877
63421,WN,4547,ABQ,4019,LAS,3877
4660,AA,24,ABQ,4019,LAX,3484
11520,AS,439,ABQ,4019,LAX,3484
55764,UA,5209,ABQ,4019,LAX,3484
58575,US,5265,ABQ,4019,LAX,3484
63422,WN,4547,ABQ,4019,LAX,3484
24847,FL,1316,ABQ,4019,MCI,3458
63423,WN,4547,ABQ,4019,MCI,3458
24848,FL,1316,ABQ,4019,MDW,3747
63424,WN,4547,ABQ,4019,MDW,3747
20013,DL,2009,ABQ,4019,MSP,3858
63425,WN,4547,ABQ,4019,OAK,3453
55765,UA,5209,ABQ,4019,ORD,3830
58576,US,5265,ABQ,4019,ORD,3830
24849,FL,1316,ABQ,4019,PDX,3720
63426,WN,4547,ABQ,4019,PDX,3720
4662,AA,24,ABQ,4019,PHX,3462
58577,US,5265,ABQ,4019,PHX,3462
63427,WN,4547,ABQ,4019,PHX,3462
63428,WN,4547,ABQ,4019,SAN,3731
63429,WN,4547,ABQ,4019,SEA,3577
55766,UA,5209,ABQ,4019,SFO,3469
20014,DL,2009,ABQ,4019,SLC,3536
55792,UA,5209,ANC,3774,DEN,3751
11540,AS,439,ANC,3774,LAS,3877
4686,AA,24,ANC,3774,LAX,3484
11541,AS,439,ANC,3774,LAX,3484
20052,DL,2009,ANC,3774,MSP,3858
11544,AS,439,ANC,3774,ORD,3830
55793,UA,5209,ANC,3774,ORD,3830
11546,AS,439,ANC,3774,PDX,3720
58594,US,5265,ANC,3774,PHX,3462
11549,AS,439,ANC,3774,SEA,3577
20053,DL,2009,ANC,3774,SEA,3577
55794,UA,5209,ANC,3774,SEA,3577
20054,DL,2009,ANC,3774,SLC,3536
9017,AF,137,ATL,3682,ABQ,4019
20058,DL,2009,ATL,3682,ABQ,4019
36315,KL,3090,ATL,3682,ABQ,4019
61656,VS,5347,ATL,3682,ABQ,4019
9023,AF,137,ATL,3682,AUS,3673
20066,DL,2009,ATL,3682,AUS,3673
24859,FL,1316,ATL,3682,AUS,3673
36322,KL,3090,ATL,3682,AUS,3673
61657,VS,5347,ATL,3682,AUS,3673
63440,WN,4547,ATL,3682,AUS,3673
9026,AF,137,ATL,3682,BDL,3825
10856,AM,321,ATL,3682,BDL,3825
12970,AZ,596,ATL,3682,BDL,3825
20071,DL,2009,ATL,3682,BDL,3825
24860,FL,1316,ATL,3682,BDL,3825
36325,KL,3090,ATL,3682,BDL,3825
63441,WN,4547,ATL,3682,BDL,3825
9029,AF,137,ATL,3682,BNA,3690
10857,AM,321,ATL,3682,BNA,3690
11557,AS,439,ATL,3682,BNA,3690
20075,DL,2009,ATL,3682,BNA,3690
36328,KL,3090,ATL,3682,BNA,3690
61659,VS,5347,ATL,3682,BNA,3690
9030,AF,137,ATL,3682,BOS,3448
10858,AM,321,ATL,3682,BOS,3448
20078,DL,2009,ATL,3682,BOS,3448
24861,FL,1316,ATL,3682,BOS,3448
36329,KL,3090,ATL,3682,BOS,3448
61660,VS,5347,ATL,3682,BOS,3448
63442,WN,4547,ATL,3682,BOS,3448
10859,AM,321,ATL,3682,BWI,3849
20085,DL,2009,ATL,3682,BWI,3849
24862,FL,1316,ATL,3682,BWI,3849
36335,KL,3090,ATL,3682,BWI,3849
63443,WN,4547,ATL,3682,BWI,3849
9042,AF,137,ATL,3682,CHS,3806
11558,AS,439,ATL,3682,CHS,3806
20093,DL,2009,ATL,3682,CHS,3806
61661,VS,5347,ATL,3682,CHS,3806
63445,WN,4547,ATL,3682,CHS,3806
9044,AF,137,ATL,3682,CLE,3486
10861,AM,321,ATL,3682,CLE,3486
20095,DL,2009,ATL,3682,CLE,3486
36342,KL,3090,ATL,3682,CLE,3486
55802,UA,5209,ATL,3682,CLE,3486
4699,AA,24,ATL,3682,CLT,3876
11559,AS,439,ATL,3682,CLT,3876
20096,DL,2009,ATL,3682,CLT,3876
36343,KL,3090,ATL,3682,CLT,3876
58603,US,5265,ATL,3682,CLT,3876
61662,VS,5347,ATL,3682,CLT,3876
10862,AM,321,ATL,3682,CMH,3759
12981,AZ,596,ATL,3682,CMH,3759
20097,DL,2009,ATL,3682,CMH,3759
24864,FL,1316,ATL,3682,CMH,3759
36344,KL,3090,ATL,3682,CMH,3759
60974,VA,5360,ATL,3682,CMH,3759
63446,WN,4547,ATL,3682,CMH,3759
3564,9E,3976,ATL,3682,CVG,3488
10864,AM,321,ATL,3682,CVG,3488
20102,DL,2009,ATL,3682,CVG,3488
61664,VS,5347,ATL,3682,CVG,3488
20105,DL,2009,ATL,3682,DAL,3502
36352,KL,3090,ATL,3682,DAL,3502
61665,VS,5347,ATL,3682,DAL,3502
10866,AM,321,ATL,3682,DCA,3520
